Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.0	7.071068	30.0	10.0	659.0	-0.13519406	0.045207642	-0.03177905	-0.18551916	4000	0.0746526	14.486005	0.0	-4.7567124	2.8821993	0.7141922	0.506	0.0	10.860092878341675
1	20.0	14.142136	40.0	0.0	666.5	2.0482974	2.3841858e-07	2.0482972	2.0482972	8000	0.0643841	11.688623	0.0	-0.01890707	2.8823671	0.95652986	0.67525005	0.0	22.002511978149414
2	27.5	4.3301272	30.0	20.0	662.75	2.1879601	2.3841858e-07	2.1879604	2.1879604	12000	0.04710783	11.484421	0.0	-0.27191234	2.8822927	0.8579064	0.6065	0.0	33.11020278930664
3	32.5	27.726341	60.0	0.0	708.0	2.716124	4.7683716e-07	2.7161236	2.7161236	16000	0.038405046	25.657291	0.0	-0.7611842	2.8822365	0.67248285	0.4785	0.0	44.47547507286072
4	22.5	14.790199	40.0	0.0	797.0	3.5804214	0.0	3.5804214	3.5804214	20000	0.024003029	17.191248	0.0	-1.4861522	2.8823848	1.0379515	0.73525	0.0	55.79771971702576
5	10.0	12.247449	30.0	0.0	891.25	2.3486638	4.7683716e-07	2.3486643	2.3486643	24000	0.049738802	9.214711	0.0	-0.6095855	2.8823755	1.0405658	0.73675	0.0	67.1649239063263
6	22.5	10.897247	40.0	10.0	664.25	1.5676676	2.3841858e-07	1.5676678	1.5676678	28000	0.080370724	15.389848	0.0	-0.7132045	2.8822181	0.7446952	0.52750003	0.0	78.80879497528076
7	28.0	11.661903	50.0	20.0	592.8	2.4053364	0.0	2.4053364	2.4053364	32000	0.06192532	20.21466	0.0	-1.0768313	2.8821907	0.65753436	0.46825	0.0	90.13422894477844
8	17.5	17.85357	40.0	0.0	804.0	3.4352655	4.7683716e-07	3.435266	3.435266	36000	0.03199985	16.2442	0.0	-1.7939873	2.8823123	1.0057584	0.71099997	0.0	102.94044876098633
9	18.0	11.661903	30.0	0.0	606.8	2.1138515	0.0	2.1138515	2.1138515	40000	0.06504199	9.3878	0.0	-0.02452159	2.8822513	0.7848965	0.55799997	0.0	113.8457989692688
10	18.0	11.661903	30.0	0.0	698.4	1.9592224	2.3841858e-07	1.9592222	1.9592222	44000	0.06836882	10.274141	0.0	-0.039654553	2.8821826	0.64538026	0.4575	0.0	124.749431848526
11	25.0	11.18034	40.0	10.0	728.75	2.1566586	2.3841858e-07	2.156659	2.156659	48000	0.077767015	15.021662	0.0	-1.0963981	2.8822713	0.727975	0.515	0.0	135.59843683242798
12	12.5	12.990381	30.0	0.0	989.5	3.1916165	2.3841858e-07	3.1916163	3.1916163	52000	0.031529546	9.83662	0.0	-2.8176792	2.8824568	1.1713092	0.83275	0.0	146.47051286697388
13	10.0	6.3245554	20.0	0.0	590.2	1.5340544	1.1920929e-07	1.5340545	1.5340545	56000	0.11905355	5.3491287	0.0	-0.11521456	2.882321	0.81214136	0.576	0.0	157.2284698486328
14	17.5	10.897247	30.0	0.0	867.75	1.1997985	0.0	1.1997985	1.1997985	60000	0.043041788	11.927199	0.0	-0.33090746	2.882269	0.989738	0.699	0.0	168.11495876312256
15	22.0	4.0	30.0	20.0	586.8	1.7664088	3.5762787e-07	1.7664084	1.7664084	64000	0.079660505	14.750445	0.0	-1.4450078	2.882276	0.7511662	0.532	0.0	179.15337300300598
16	18.0	9.797959	30.0	0.0	740.4	2.9513335	4.7683716e-07	2.951334	2.951334	68000	0.05597821	12.567207	0.0	-0.6143875	2.8822734	0.83688504	0.596	0.0	190.01354694366455
17	7.5	12.990381	30.0	0.0	974.5	2.1790388	0.0	2.1790388	2.1790388	72000	0.015717734	6.541232	0.0	-1.5284458	2.8824823	1.2543232	0.88925	0.0	200.76710200309753
